Data Source,Component,Source,Relationship,Target,EventID,Event Name,Event Platform,Log Provider,Log Channel,Audit Category,Audit Sub-Category,Enable Commands,GPO Audit Policy
WMI,wmi deletion,user,deleted,wmi object,19,WmiEvent (WmiEventFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi deletion,user,deleted,wmi object,20,WmiEvent (WmiEventConsumer activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
WMI,wmi deletion,user,deleted,wmi object,21,WmiEvent (WmiEventConsumerToFilter activity detected).,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,WmiEvent,,<WmiEvent onmatch='exclude' />,
Scheduled Job,scheduled job modification,user,disabled,scheduled job,4701,A scheduled task was disabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account modification,user,disabled,user,4725,A user account was disabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Scheduled Job,scheduled job modification,user,enabled,scheduled job,4700,A scheduled task was enabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
User Account,user account modification,user,enabled,user,4722,A user account was enabled.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Command,command execution,user,executed,command,4688,A new process has been created.,Windows,Microsoft-Windows-Security-Auditing,Security,Detailed Tracking,Process Creation,auditpol /set /subcategory:Process Creation /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit Process Creation
Command,command execution,user,executed,command,1,Process Creation.,Windows,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,ProcessCreate,,<ProcessCreate onmatch='exclude' />,
Command,command execution,user,executed,command,4103,Module logging.,Windows,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,Executing Pipeline,,,
Command,command execution,user,executed,command,DeviceProcessEvents,DeviceProcessEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
User Account,user account modification,user,granted access to,user,4717,System security access was granted to an account.,Windows,Microsoft-Windows-Security-Auditing,Security,Policy Change,Authentication Policy Change,auditpol /set /subcategory:Authentication Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change
Firewall,firewall enumeration,user,listed,firewall rule,ListRuleGroups,ListRuleGroups,AWS,CloudTrail,,AwsApiCall,,,
User Account,user account modification,user,locked,user,4740,A user account was locked out.,Windows,Microsoft-Windows-Security-Auditing,Security,Account Management,User Account Management,auditpol /set /subcategory:User Account Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit User Account Management
Active Directory,active directory object modification,user,modified,ad object,5136,A directory service object was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
Active Directory,active directory object modification,user,modified,ad object,5139,A directory service object was moved.,Windows,Microsoft-Windows-Security-Auditing,Security,DS Access,Directory Service Changes,auditpol /set /subcategory:Directory Service Changes /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> DS Access -> Audit Directory Service Changes
Cloud Service,cloud service modification,user,modified,cloud service,UpdateTrail,UpdateTrail,AWS,CloudTrail,,AwsApiCall,,,
File,file modification,user,modified,file,4670,Permissions on an object were changed.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
File,file modification,user,modified,file,DeviceFileEvents,DeviceFileEvents,Windows,Windows Defender Advanced Threat Protection,,,,,
Firewall,firewall rule modification,user,modified,firewall rule,2005,A rule has been modified in the Windows Defender Firewall exception list.,Windows,Microsoft-Windows-Windows Firewall With Advanced Security,Microsoft-Windows-Windows Firewall With Advanced Security/Firewall,,,,
Firewall,firewall rule modification,user,modified,firewall rule,UpdateRuleGroup,UpdateRuleGroup,AWS,CloudTrail,,AwsApiCall,,,
Instance,instance modification,user,modified,instance,ModifyInstanceAttribute,ModifyInstanceAttribute,AWS,CloudTrail,,AwsApiCall,,,
Network Share,network share modification,user,modified,network share,5143,A network share object was modified.,Windows,Microsoft-Windows-Security-Auditing,Security,Object Access,File Share,auditpol /set /subcategory:File Share /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File Share
